,index,STATION,DATE,TMAX,TMIN,YEAR,MONTH,DAY
10392,31069,USW00013810,2006-01-01 00:00:00,61.0,29.0,2006,1,1
6827,16369,USW00093821,2006-01-02 00:00:00,72.0,49.0,2006,1,2
6097,15639,USW00093821,2004-01-03 00:00:00,69.0,61.0,2004,1,3
6098,15640,USW00093821,2004-01-04 00:00:00,69.0,45.0,2004,1,4
7195,16737,USW00093821,2007-01-05 00:00:00,68.0,56.0,2007,1,5
7561,17103,USW00093821,2008-01-06 00:00:00,64.0,50.0,2008,1,6
7562,17104,USW00093821,2008-01-07 00:00:00,71.0,63.0,2008,1,7
11128,31805,USW00013810,2008-01-08 00:00:00,79.0,56.0,2008,1,8
6834,16376,USW00093821,2006-01-09 00:00:00,63.0,37.0,2006,1,9
7565,17107,USW00093821,2008-01-10 00:00:00,59.0,38.0,2008,1,10
6471,16013,USW00093821,2005-01-11 00:00:00,66.0,47.0,2005,1,11
6472,16014,USW00093821,2005-01-12 00:00:00,70.0,62.0,2005,1,12
10039,30716,USW00013810,2005-01-13 00:00:00,68.0,38.0,2005,1,13
7204,16746,USW00093821,2007-01-14 00:00:00,63.0,50.0,2007,1,14
7205,16747,USW00093821,2007-01-15 00:00:00,65.0,34.0,2007,1,15
6841,16383,USW00093821,2006-01-16 00:00:00,59.0,33.0,2006,1,16
6842,16384,USW00093821,2006-01-17 00:00:00,56.0,29.0,2006,1,17
7208,16750,USW00093821,2007-01-18 00:00:00,46.0,30.0,2007,1,18
6844,16386,USW00093821,2006-01-19 00:00:00,63.0,34.0,2006,1,19
6845,16387,USW00093821,2006-01-20 00:00:00,65.0,54.0,2006,1,20
6846,16388,USW00093821,2006-01-21 00:00:00,58.0,39.0,2006,1,21
7943,17485,USW00093821,2009-01-22 00:00:00,53.0,26.0,2009,1,22
7944,17486,USW00093821,2009-01-23 00:00:00,61.0,33.0,2009,1,23
6849,16391,USW00093821,2006-01-24 00:00:00,54.0,31.0,2006,1,24
6485,16027,USW00093821,2005-01-25 00:00:00,57.0,26.0,2005,1,25
19199,63550,USC00154958,2004-01-26 00:00:00,56.0,29.0,2004,1,26
6852,16394,USW00093821,2006-01-27 00:00:00,56.0,28.0,2006,1,27
6853,16395,USW00093821,2006-01-28 00:00:00,63.0,46.0,2006,1,28
7584,17126,USW00093821,2008-01-29 00:00:00,61.0,27.0,2008,1,29
6855,16397,USW00093821,2006-01-30 00:00:00,51.0,37.0,2006,1,30
6856,16398,USW00093821,2006-01-31 00:00:00,46.0,33.0,2006,1,31
6857,16399,USW00093821,2006-02-01 00:00:00,62.0,30.0,2006,2,1
5762,15304,USW00093821,2003-02-02 00:00:00,63.0,31.0,2003,2,2
5763,15305,USW00093821,2003-02-03 00:00:00,60.0,42.0,2003,2,3
7590,17132,USW00093821,2008-02-04 00:00:00,67.0,50.0,2008,2,4
7591,17133,USW00093821,2008-02-05 00:00:00,70.0,58.0,2008,2,5
7592,17134,USW00093821,2008-02-06 00:00:00,70.0,37.0,2008,2,6
7959,17501,USW00093821,2009-02-07 00:00:00,64.0,51.0,2009,2,7
7960,17502,USW00093821,2009-02-08 00:00:00,65.0,43.0,2009,2,8
7961,17503,USW00093821,2009-02-09 00:00:00,70.0,39.0,2009,2,9
7962,17504,USW00093821,2009-02-10 00:00:00,64.0,55.0,2009,2,10
11527,32204,USW00013810,2009-02-11 00:00:00,67.0,47.0,2009,2,11
6503,16045,USW00093821,2005-02-12 00:00:00,59.0,29.0,2005,2,12
10070,30747,USW00013810,2005-02-13 00:00:00,55.0,40.0,2005,2,13
6870,16412,USW00093821,2006-02-14 00:00:00,59.0,33.0,2006,2,14
6506,16048,USW00093821,2005-02-15 00:00:00,71.0,43.0,2005,2,15
6872,16414,USW00093821,2006-02-16 00:00:00,68.0,54.0,2006,2,16
7603,17145,USW00093821,2008-02-17 00:00:00,66.0,42.0,2008,2,17
7970,17512,USW00093821,2009-02-18 00:00:00,65.0,38.0,2009,2,18
6144,15686,USW00093821,2004-02-19 00:00:00,66.0,35.0,2004,2,19
7241,16783,USW00093821,2007-02-20 00:00:00,63.0,46.0,2007,2,20
10078,30755,USW00013810,2005-02-21 00:00:00,54.0,40.0,2005,2,21
7243,16785,USW00093821,2007-02-22 00:00:00,54.0,33.0,2007,2,22
6148,15690,USW00093821,2004-02-23 00:00:00,58.0,32.0,2004,2,23
6880,16422,USW00093821,2006-02-24 00:00:00,54.0,32.0,2006,2,24
11541,32218,USW00013810,2009-02-25 00:00:00,61.0,37.0,2009,2,25
11542,32219,USW00013810,2009-02-26 00:00:00,67.0,50.0,2009,2,26
7979,17521,USW00093821,2009-02-27 00:00:00,65.0,35.0,2009,2,27
6884,16426,USW00093821,2006-02-28 00:00:00,64.0,39.0,2006,2,28
6154,15696,USW00093821,2004-02-29 00:00:00,68.0,39.0,2004,2,29
6885,16427,USW00093821,2006-03-01 00:00:00,74.0,49.0,2006,3,1
7617,17159,USW00093821,2008-03-02 00:00:00,71.0,37.0,2008,3,2
7618,17160,USW00093821,2008-03-03 00:00:00,73.0,41.0,2008,3,3
6158,15700,USW00093821,2004-03-04 00:00:00,75.0,51.0,2004,3,4
6159,15701,USW00093821,2004-03-05 00:00:00,71.0,54.0,2004,3,5
7986,17528,USW00093821,2009-03-06 00:00:00,66.0,58.0,2009,3,6
7987,17529,USW00093821,2009-03-07 00:00:00,76.0,55.0,2009,3,7
5796,15338,USW00093821,2003-03-08 00:00:00,73.0,31.0,2003,3,8
7258,16800,USW00093821,2007-03-09 00:00:00,73.0,33.0,2007,3,9
7990,17532,USW00093821,2009-03-10 00:00:00,78.0,52.0,2009,3,10
7991,17533,USW00093821,2009-03-11 00:00:00,72.0,34.0,2009,3,11
7261,16803,USW00093821,2007-03-12 00:00:00,72.0,37.0,2007,3,12
7262,16804,USW00093821,2007-03-13 00:00:00,81.0,53.0,2007,3,13
7263,16805,USW00093821,2007-03-14 00:00:00,76.0,60.0,2007,3,14
5803,15345,USW00093821,2003-03-15 00:00:00,70.0,42.0,2003,3,15
5804,15346,USW00093821,2003-03-16 00:00:00,75.0,45.0,2003,3,16
5805,15347,USW00093821,2003-03-17 00:00:00,73.0,50.0,2003,3,17
7998,17540,USW00093821,2009-03-18 00:00:00,76.0,47.0,2009,3,18
5807,15349,USW00093821,2003-03-19 00:00:00,68.0,55.0,2003,3,19
5808,15350,USW00093821,2003-03-20 00:00:00,73.0,54.0,2003,3,20
7270,16812,USW00093821,2007-03-21 00:00:00,79.0,54.0,2007,3,21
7271,16813,USW00093821,2007-03-22 00:00:00,70.0,61.0,2007,3,22
7272,16814,USW00093821,2007-03-23 00:00:00,78.0,60.0,2007,3,23
7273,16815,USW00093821,2007-03-24 00:00:00,82.0,59.0,2007,3,24
7274,16816,USW00093821,2007-03-25 00:00:00,85.0,56.0,2007,3,25
7275,16817,USW00093821,2007-03-26 00:00:00,84.0,61.0,2007,3,26
7276,16818,USW00093821,2007-03-27 00:00:00,83.0,61.0,2007,3,27
6182,15724,USW00093821,2004-03-28 00:00:00,83.0,57.0,2004,3,28
6183,15725,USW00093821,2004-03-29 00:00:00,71.0,50.0,2004,3,29
10845,31522,USW00013810,2007-03-30 00:00:00,80.0,52.0,2007,3,30
7280,16822,USW00093821,2007-03-31 00:00:00,78.0,63.0,2007,3,31
