,index,STATION,DATE,TMAX,TMIN,YEAR,MONTH,DAY
32893,32893,USW00013810,2011-01-01 00:00:00,63.0,28.0,2011,1,1
16369,16369,USW00093821,2006-01-02 00:00:00,72.0,49.0,2006,1,2
15639,15639,USW00093821,2004-01-03 00:00:00,69.0,61.0,2004,1,3
15640,15640,USW00093821,2004-01-04 00:00:00,69.0,45.0,2004,1,4
16737,16737,USW00093821,2007-01-05 00:00:00,68.0,56.0,2007,1,5
17103,17103,USW00093821,2008-01-06 00:00:00,64.0,50.0,2008,1,6
17104,17104,USW00093821,2008-01-07 00:00:00,71.0,63.0,2008,1,7
31805,31805,USW00013810,2008-01-08 00:00:00,79.0,56.0,2008,1,8
16376,16376,USW00093821,2006-01-09 00:00:00,63.0,37.0,2006,1,9
20760,20760,USW00093821,2018-01-10 00:00:00,63.0,42.0,2018,1,10
18935,18935,USW00093821,2013-01-11 00:00:00,68.0,54.0,2013,1,11
16014,16014,USW00093821,2005-01-12 00:00:00,70.0,62.0,2005,1,12
62248,62248,USC00154955,2017-01-13 00:00:00,70.0,35.0,2017,1,13
60802,60802,USC00154955,2013-01-14 00:00:00,67.0,31.0,2013,1,14
16747,16747,USW00093821,2007-01-15 00:00:00,65.0,34.0,2007,1,15
33273,33273,USW00013810,2012-01-16 00:00:00,60.0,32.0,2012,1,16
20402,20402,USW00093821,2017-01-17 00:00:00,65.0,45.0,2017,1,17
62253,62253,USC00154955,2017-01-18 00:00:00,63.0,44.0,2017,1,18
16386,16386,USW00093821,2006-01-19 00:00:00,63.0,34.0,2006,1,19
16387,16387,USW00093821,2006-01-20 00:00:00,65.0,54.0,2006,1,20
68294,68294,USC00154958,2017-01-21 00:00:00,69.0,51.0,2017,1,21
62257,62257,USC00154955,2017-01-22 00:00:00,67.0,41.0,2017,1,22
17486,17486,USW00093821,2009-01-23 00:00:00,61.0,33.0,2009,1,23
62259,62259,USC00154955,2017-01-24 00:00:00,56.0,40.0,2017,1,24
20410,20410,USW00093821,2017-01-25 00:00:00,63.0,37.0,2017,1,25
62261,62261,USC00154955,2017-01-26 00:00:00,63.0,35.0,2017,1,26
62624,62624,USC00154955,2018-01-27 00:00:00,60.0,35.0,2018,1,27
16395,16395,USW00093821,2006-01-28 00:00:00,63.0,46.0,2006,1,28
18953,18953,USW00093821,2013-01-29 00:00:00,67.0,55.0,2013,1,29
18954,18954,USW00093821,2013-01-30 00:00:00,71.0,33.0,2013,1,30
