,TMAX,TMIN,DATE,MONTH,DAY,YEAR
3075,61.75,27.75,2011-01-01 00:00:00,1,1,2011
1250,71.0,48.666666666666664,2006-01-02 00:00:00,1,2,2006
520,67.33333333333333,60.666666666666664,2004-01-03 00:00:00,1,3,2004
521,68.0,44.333333333333336,2004-01-04 00:00:00,1,4,2004
1618,67.33333333333333,56.333333333333336,2007-01-05 00:00:00,1,5,2007
3445,64.0,41.666666666666664,2012-01-06 00:00:00,1,6,2012
1985,69.66666666666667,62.0,2008-01-07 00:00:00,1,7,2008
1986,71.66666666666667,52.666666666666664,2008-01-08 00:00:00,1,8,2008
1257,62.0,34.666666666666664,2006-01-09 00:00:00,1,9,2006
5641,58.75,40.0,2018-01-10 00:00:00,1,10,2018
3816,65.25,48.75,2013-01-11 00:00:00,1,11,2013
895,69.66666666666667,60.666666666666664,2005-01-12 00:00:00,1,12,2005
3818,68.0,37.75,2013-01-13 00:00:00,1,13,2013
1627,62.333333333333336,49.666666666666664,2007-01-14 00:00:00,1,14,2007
1628,64.33333333333333,33.666666666666664,2007-01-15 00:00:00,1,15,2007
3455,58.5,30.25,2012-01-16 00:00:00,1,16,2012
5283,62.5,42.25,2017-01-17 00:00:00,1,17,2017
4553,53.0,32.5,2015-01-18 00:00:00,1,18,2015
1267,62.666666666666664,32.0,2006-01-19 00:00:00,1,19,2006
1268,64.0,54.0,2006-01-20 00:00:00,1,20,2006
5287,66.75,47.25,2017-01-21 00:00:00,1,21,2017
5288,64.25,45.25,2017-01-22 00:00:00,1,22,2017
2367,60.0,32.0,2009-01-23 00:00:00,1,23,2009
1272,54.0,28.333333333333332,2006-01-24 00:00:00,1,24,2006
5291,60.75,36.5,2017-01-25 00:00:00,1,25,2017
5657,59.75,32.75,2018-01-26 00:00:00,1,26,2018
5658,58.5,44.75,2018-01-27 00:00:00,1,27,2018
1276,62.333333333333336,45.0,2006-01-28 00:00:00,1,28,2006
3834,64.75,53.5,2013-01-29 00:00:00,1,29,2013
3835,69.25,39.0,2013-01-30 00:00:00,1,30,2013
4931,68.0,48.25,2016-01-31 00:00:00,1,31,2016
3471,64.75,51.0,2012-02-01 00:00:00,2,1,2012
4933,66.5,40.0,2016-02-02 00:00:00,2,2,2016
4934,63.75,37.5,2016-02-03 00:00:00,2,3,2016
2013,65.66666666666667,49.666666666666664,2008-02-04 00:00:00,2,4,2008
2014,69.33333333333333,56.666666666666664,2008-02-05 00:00:00,2,5,2008
2015,68.66666666666667,36.0,2008-02-06 00:00:00,2,6,2008
3843,67.0,32.5,2013-02-07 00:00:00,2,7,2013
2383,64.0,41.0,2009-02-08 00:00:00,2,8,2009
2384,69.5,38.5,2009-02-09 00:00:00,2,9,2009
2385,62.666666666666664,53.333333333333336,2009-02-10 00:00:00,2,10,2009
2386,66.0,46.666666666666664,2009-02-11 00:00:00,2,11,2009
5309,67.5,43.75,2017-02-12 00:00:00,2,12,2017
3118,60.25,33.25,2011-02-13 00:00:00,2,13,2011
5676,58.25,39.0,2018-02-14 00:00:00,2,14,2018
5677,70.25,56.25,2018-02-15 00:00:00,2,15,2018
3121,70.0,37.5,2011-02-16 00:00:00,2,16,2011
5314,66.5,41.5,2017-02-17 00:00:00,2,17,2017
3123,68.5,43.75,2011-02-18 00:00:00,2,18,2011
5681,71.5,43.5,2018-02-19 00:00:00,2,19,2018
5682,79.5,59.75,2018-02-20 00:00:00,2,20,2018
5683,74.0,47.75,2018-02-21 00:00:00,2,21,2018
5319,72.0,52.25,2017-02-22 00:00:00,2,22,2017
5320,71.25,58.25,2017-02-23 00:00:00,2,23,2017
5321,77.75,55.0,2017-02-24 00:00:00,2,24,2017
5687,62.5,44.25,2018-02-25 00:00:00,2,25,2018
2401,66.0,48.666666666666664,2009-02-26 00:00:00,2,26,2009
3132,67.25,35.75,2011-02-27 00:00:00,2,27,2011
3133,67.0,33.75,2011-02-28 00:00:00,2,28,2011
3499,70.0,57.0,2012-02-29 00:00:00,2,29,2012
1308,73.66666666666667,47.666666666666664,2006-03-01 00:00:00,3,1,2006
3501,74.0,39.5,2012-03-02 00:00:00,3,2,2012
2041,72.0,40.0,2008-03-03 00:00:00,3,3,2008
581,73.66666666666667,49.333333333333336,2004-03-04 00:00:00,3,4,2004
582,69.66666666666667,53.0,2004-03-05 00:00:00,3,5,2004
3505,70.75,28.25,2012-03-06 00:00:00,3,6,2012
2410,75.0,56.333333333333336,2009-03-07 00:00:00,3,7,2009
219,72.33333333333333,30.0,2003-03-08 00:00:00,3,8,2003
1681,72.33333333333333,31.666666666666668,2007-03-09 00:00:00,3,9,2007
2413,77.0,52.333333333333336,2009-03-10 00:00:00,3,10,2009
4240,74.25,48.25,2014-03-11 00:00:00,3,11,2014
1684,71.33333333333333,33.333333333333336,2007-03-12 00:00:00,3,12,2007
1685,80.0,52.0,2007-03-13 00:00:00,3,13,2007
3513,81.5,55.25,2012-03-14 00:00:00,3,14,2012
3514,79.75,60.5,2012-03-15 00:00:00,3,15,2012
4976,77.5,55.0,2016-03-16 00:00:00,3,16,2016
3516,79.0,54.25,2012-03-17 00:00:00,3,17,2012
3517,81.5,58.0,2012-03-18 00:00:00,3,18,2012
3518,84.75,60.25,2012-03-19 00:00:00,3,19,2012
3519,84.75,63.25,2012-03-20 00:00:00,3,20,2012
3520,85.0,62.75,2012-03-21 00:00:00,3,21,2012
3521,82.0,63.25,2012-03-22 00:00:00,3,22,2012
3156,79.5,51.25,2011-03-23 00:00:00,3,23,2011
1696,81.0,58.333333333333336,2007-03-24 00:00:00,3,24,2007
1697,84.33333333333333,54.333333333333336,2007-03-25 00:00:00,3,25,2007
1698,82.66666666666667,60.333333333333336,2007-03-26 00:00:00,3,26,2007
1699,82.0,60.0,2007-03-27 00:00:00,3,27,2007
